t_s,joint,rid,name,value
1790037057.274148,right_joint7,10,CTRL_MODE,1
1790037057.275196,right_joint7,1,KT_Value,0
1790037057.275199,right_joint7,1,KT_Value,0
1790037057.275718,right_joint7,20,Gr,10
1790037057.276182,right_joint7,12,Inertia,1.68908e-05
1790037057.276639,right_joint7,11,Damp,0.000525813
1790037057.277062,right_joint7,23,TMAX,10
1790037057.277434,right_joint7,22,VMAX,30
1790037057.277765,right_joint7,21,PMAX,12.5
1790037057.278167,right_joint7,9,TIMEOUT,0
1790037057.278563,right_joint7,6,MAX_SPD,600
1790037057.278787,right_joint7,16,NPP,14
1790037057.279105,right_joint7,17,Rs,0.72185
1790037057.279518,right_joint7,18,LS,0.000329874
1790037057.279726,right_joint7,19,Flux,0.00460573
1790037057.280120,right_joint7,14,sw_ver,9.2597e+08
1790037057.280475,right_joint7,13,hw_ver,0
1790037100.432646,right_joint7,10,CTRL_MODE,1
1790037100.433765,right_joint7,1,KT_Value,0
1790037100.433815,right_joint7,1,KT_Value,0
1790037100.434519,right_joint7,20,Gr,10
1790037100.434753,right_joint7,12,Inertia,1.68908e-05
1790037100.435103,right_joint7,11,Damp,0.000525813
1790037100.435384,right_joint7,23,TMAX,10
1790037100.435755,right_joint7,22,VMAX,30
1790037100.436067,right_joint7,21,PMAX,12.5
1790037100.436393,right_joint7,9,TIMEOUT,0
1790037100.436795,right_joint7,6,MAX_SPD,600
1790037100.437146,right_joint7,16,NPP,14
1790037100.437476,right_joint7,17,Rs,0.72185
1790037100.437793,right_joint7,18,LS,0.000329874
1790037100.438124,right_joint7,19,Flux,0.00460573
1790037100.438481,right_joint7,14,sw_ver,9.2597e+08
1790037100.438688,right_joint7,13,hw_ver,0
1790037119.307070,right_joint7,10,CTRL_MODE,1
1790037119.308033,right_joint7,1,KT_Value,0
1790037119.308262,right_joint7,1,KT_Value,0
1790037119.308522,right_joint7,20,Gr,10
1790037119.308680,right_joint7,20,Gr,10
1790037119.308889,right_joint7,12,Inertia,1.68908e-05
1790037119.308923,right_joint7,12,Inertia,1.68908e-05
1790037119.309313,right_joint7,11,Damp,0.000525813
1790037119.309667,right_joint7,23,TMAX,10
1790037119.309872,right_joint7,22,VMAX,30
1790037119.310210,right_joint7,21,PMAX,12.5
1790037119.310499,right_joint7,9,TIMEOUT,0
1790037119.310711,right_joint7,6,MAX_SPD,600
1790037119.311126,right_joint7,16,NPP,14
1790037119.311459,right_joint7,17,Rs,0.72185
1790037119.311834,right_joint7,18,LS,0.000329874
1790037119.312187,right_joint7,19,Flux,0.00460573
1790037119.312541,right_joint7,14,sw_ver,9.2597e+08
1790037119.312773,right_joint7,13,hw_ver,0
