t_s,joint,rid,name,value
1789956673.758632,right_joint7,10,CTRL_MODE,1
1789956728.164173,right_joint7,10,CTRL_MODE,1
1789956728.165105,right_joint7,1,KT_Value,0
1789956728.165109,right_joint7,20,Gr,10
1789956728.165579,right_joint7,12,Inertia,1.68908e-05
1789956728.166085,right_joint7,11,Damp,0.000525813
1789956728.166489,right_joint7,23,TMAX,10
1789956728.166932,right_joint7,22,VMAX,30
1789956728.167278,right_joint7,21,PMAX,12.5
1789956728.167614,right_joint7,9,TIMEOUT,0
1789956728.167821,right_joint7,6,MAX_SPD,600
1789956728.168199,right_joint7,16,NPP,14
1789956728.168529,right_joint7,17,Rs,0.72185
1789956728.168884,right_joint7,18,LS,0.000329874
1789956728.169197,right_joint7,19,Flux,0.00460573
1789956728.169553,right_joint7,14,sw_ver,9.2597e+08
1789956728.169925,right_joint7,13,hw_ver,0
