t_s,joint,rid,name,value
1789976185.445874,right_joint7,10,CTRL_MODE,1
1789976185.447170,right_joint7,1,KT_Value,0
1789976185.447337,right_joint7,20,Gr,10
1789976185.447437,right_joint7,12,Inertia,1.68908e-05
1789976185.447533,right_joint7,11,Damp,0.000525813
1789976185.447617,right_joint7,23,TMAX,10
1789976185.447722,right_joint7,22,VMAX,30
1789976185.447828,right_joint7,21,PMAX,12.5
1789976185.447914,right_joint7,9,TIMEOUT,0
1789976185.448043,right_joint7,6,MAX_SPD,600
1789976185.448145,right_joint7,16,NPP,14
1789976185.448267,right_joint7,17,Rs,0.72185
1789976185.448362,right_joint7,18,LS,0.000329874
1789976185.448470,right_joint7,19,Flux,0.00460573
1789976185.448581,right_joint7,14,sw_ver,9.2597e+08
1789976185.448639,right_joint7,13,hw_ver,0
1789976199.407895,right_joint7,10,CTRL_MODE,1
1789976199.408803,right_joint7,1,KT_Value,0
1789976199.408867,right_joint7,20,Gr,10
1789976199.409291,right_joint7,12,Inertia,1.68908e-05
1789976199.409780,right_joint7,11,Damp,0.000525813
1789976199.410154,right_joint7,23,TMAX,10
1789976199.410366,right_joint7,22,VMAX,30
1789976199.410758,right_joint7,21,PMAX,12.5
1789976199.411133,right_joint7,9,TIMEOUT,0
1789976199.411360,right_joint7,6,MAX_SPD,600
1789976199.411758,right_joint7,16,NPP,14
1789976199.412091,right_joint7,17,Rs,0.72185
1789976199.412450,right_joint7,18,LS,0.000329874
1789976199.412779,right_joint7,19,Flux,0.00460573
1789976199.413091,right_joint7,14,sw_ver,9.2597e+08
1789976199.413405,right_joint7,13,hw_ver,0
