t_s,joint,rid,name,value
1790042182.713806,right_joint1,10,CTRL_MODE,1
1790042182.713900,right_joint2,10,CTRL_MODE,1
1790042182.714186,right_joint3,10,CTRL_MODE,1
1790042182.714191,right_joint4,10,CTRL_MODE,1
1790042182.714194,right_joint5,10,CTRL_MODE,1
1790042182.714284,right_joint6,10,CTRL_MODE,1
1790042182.714466,right_joint7,10,CTRL_MODE,1
1790042182.715121,right_joint1,1,KT_Value,0
1790042182.715252,right_joint2,1,KT_Value,0
1790042182.715376,right_joint3,1,KT_Value,0
1790042182.715508,right_joint4,1,KT_Value,0
1790042182.715625,right_joint5,1,KT_Value,0
1790042182.715695,right_joint6,1,KT_Value,0
1790042182.715737,right_joint7,1,KT_Value,0
1790042182.715858,right_joint1,1,KT_Value,0
1790042182.716093,right_joint2,1,KT_Value,0
1790042182.716098,right_joint3,1,KT_Value,0
1790042182.716208,right_joint4,1,KT_Value,0
1790042182.716295,right_joint5,1,KT_Value,0
1790042182.716384,right_joint6,1,KT_Value,0
1790042182.716501,right_joint1,20,Gr,9
1790042182.716581,right_joint7,1,KT_Value,0
1790042182.716740,right_joint2,20,Gr,9
1790042182.716861,right_joint3,20,Gr,40
1790042182.716983,right_joint4,20,Gr,40
1790042182.717101,right_joint5,20,Gr,10
1790042182.717221,right_joint6,20,Gr,10
1790042182.717305,right_joint7,20,Gr,10
1790042182.717392,right_joint1,20,Gr,9
1790042182.717392,right_joint2,20,Gr,9
1790042182.717547,right_joint3,20,Gr,40
1790042182.717631,right_joint4,20,Gr,40
1790042182.717784,right_joint5,20,Gr,10
1790042182.717827,right_joint6,20,Gr,10
1790042182.717902,right_joint7,20,Gr,10
1790042182.718060,right_joint1,20,Gr,9
1790042182.718103,right_joint2,20,Gr,9
1790042182.718223,right_joint3,20,Gr,40
1790042182.718381,right_joint4,20,Gr,40
1790042182.718504,right_joint5,20,Gr,10
1790042182.718624,right_joint6,20,Gr,10
1790042182.718752,right_joint7,20,Gr,10
1790042182.718882,right_joint1,12,Inertia,0.000206113
1790042182.718970,right_joint2,12,Inertia,0.000192782
1790042182.718970,right_joint3,12,Inertia,1.8153e-05
1790042182.719098,right_joint1,12,Inertia,0.000206113
1790042182.719217,right_joint5,12,Inertia,1.83009e-05
1790042182.719295,right_joint2,12,Inertia,0.000192782
1790042182.719415,right_joint3,12,Inertia,1.8153e-05
1790042182.719456,right_joint4,12,Inertia,1.82248e-05
1790042182.719588,right_joint1,11,Damp,0.00102987
1790042182.719695,right_joint2,11,Damp,0.000834982
1790042182.719827,right_joint3,11,Damp,0.000180662
1790042182.719944,right_joint4,11,Damp,0.000241951
1790042182.720067,right_joint5,11,Damp,0.000264386
1790042182.720174,right_joint6,11,Damp,0.000360179
1790042182.720257,right_joint7,11,Damp,0.000525813
1790042182.720295,right_joint1,11,Damp,0.00102987
1790042182.720375,right_joint2,11,Damp,0.000834982
1790042182.720494,right_joint3,11,Damp,0.000180662
1790042182.720615,right_joint4,11,Damp,0.000241951
1790042182.720706,right_joint5,11,Damp,0.000264386
1790042182.720858,right_joint1,11,Damp,0.00102987
1790042182.720977,right_joint1,23,TMAX,54
1790042182.721106,right_joint2,23,TMAX,54
1790042182.721227,right_joint1,23,TMAX,54
1790042182.721335,right_joint2,23,TMAX,54
1790042182.721414,right_joint3,23,TMAX,28
1790042182.721414,right_joint4,23,TMAX,28
1790042182.721577,right_joint5,23,TMAX,10
1790042182.721695,right_joint6,23,TMAX,10
1790042182.721814,right_joint7,23,TMAX,10
1790042182.721934,right_joint1,23,TMAX,54
1790042182.722016,right_joint2,23,TMAX,54
1790042182.722149,right_joint3,23,TMAX,28
1790042182.722269,right_joint4,23,TMAX,28
1790042182.722390,right_joint5,23,TMAX,10
1790042182.722512,right_joint1,22,VMAX,45
1790042182.722513,right_joint2,22,VMAX,45
1790042182.722629,right_joint3,22,VMAX,10
1790042182.722666,right_joint4,22,VMAX,10
1790042182.722756,right_joint5,22,VMAX,30
1790042182.722867,right_joint6,22,VMAX,30
1790042182.722954,right_joint7,22,VMAX,30
1790042182.723113,right_joint1,22,VMAX,45
1790042182.723162,right_joint2,22,VMAX,45
1790042182.723249,right_joint3,22,VMAX,10
1790042182.723349,right_joint4,22,VMAX,10
1790042182.723458,right_joint1,21,PMAX,12.5
1790042182.723557,right_joint1,21,PMAX,12.5
1790042182.723667,right_joint2,21,PMAX,12.5
1790042182.723786,right_joint3,21,PMAX,12.5
1790042182.723874,right_joint4,21,PMAX,12.5
1790042182.724035,right_joint5,21,PMAX,12.5
1790042182.724081,right_joint6,21,PMAX,12.5
1790042182.724180,right_joint1,21,PMAX,12.5
1790042182.724289,right_joint2,21,PMAX,12.5
1790042182.724414,right_joint3,21,PMAX,12.5
1790042182.724498,right_joint4,21,PMAX,12.5
1790042182.724600,right_joint5,21,PMAX,12.5
1790042182.724709,right_joint6,21,PMAX,12.5
1790042182.724808,right_joint1,9,TIMEOUT,0
1790042182.724916,right_joint2,9,TIMEOUT,0
1790042182.725037,right_joint3,9,TIMEOUT,0
1790042182.725167,right_joint4,9,TIMEOUT,0
1790042182.725213,right_joint5,9,TIMEOUT,0
1790042182.725324,right_joint6,9,TIMEOUT,0
1790042182.725480,right_joint1,9,TIMEOUT,0
1790042182.725537,right_joint7,9,TIMEOUT,0
1790042182.725645,right_joint2,9,TIMEOUT,0
1790042182.725746,right_joint3,9,TIMEOUT,0
1790042182.725912,right_joint1,6,MAX_SPD,600
1790042182.725955,right_joint2,6,MAX_SPD,600
1790042182.726055,right_joint3,6,MAX_SPD,600
1790042182.726164,right_joint4,6,MAX_SPD,600
1790042182.726284,right_joint5,6,MAX_SPD,600
1790042182.726414,right_joint1,6,MAX_SPD,600
1790042182.726483,right_joint6,6,MAX_SPD,600
1790042182.726578,right_joint2,6,MAX_SPD,600
1790042182.726688,right_joint3,6,MAX_SPD,600
1790042182.726787,right_joint4,6,MAX_SPD,600
1790042182.726895,right_joint1,16,NPP,21
1790042182.726993,right_joint2,16,NPP,21
1790042182.727104,right_joint3,16,NPP,14
1790042182.727203,right_joint4,16,NPP,14
1790042182.727312,right_joint5,16,NPP,14
1790042182.727412,right_joint1,16,NPP,21
1790042182.727520,right_joint1,17,Rs,0.151332
1790042182.727621,right_joint1,17,Rs,0.151332
1790042182.727708,right_joint2,17,Rs,0.154011
1790042182.727829,right_joint3,17,Rs,0.739951
1790042182.727917,right_joint1,17,Rs,0.151332
1790042182.728034,right_joint2,17,Rs,0.154011
1790042182.728122,right_joint3,17,Rs,0.739951
1790042182.728222,right_joint4,17,Rs,0.736732
1790042182.728410,right_joint5,17,Rs,0.711936
1790042182.728455,right_joint6,17,Rs,0.703276
1790042182.728535,right_joint7,17,Rs,0.72185
1790042182.728645,right_joint1,18,LS,6.34432e-05
1790042182.728788,right_joint2,18,LS,6.56692e-05
1790042182.728834,right_joint1,18,LS,6.34432e-05
1790042182.728993,right_joint2,18,LS,6.56692e-05
1790042182.729042,right_joint3,18,LS,0.000321735
1790042182.729162,right_joint1,18,LS,6.34432e-05
1790042182.729249,right_joint2,18,LS,6.56692e-05
1790042182.729349,right_joint3,18,LS,0.000321735
1790042182.729458,right_joint4,18,LS,0.000346159
1790042182.729557,right_joint5,18,LS,0.00031811
1790042182.729667,right_joint1,19,Flux,0.0042756
1790042182.729787,right_joint2,19,Flux,0.00419021
1790042182.729874,right_joint1,19,Flux,0.0042756
1790042182.729970,right_joint2,19,Flux,0.00419021
1790042182.730081,right_joint1,14,sw_ver,9.25972e+08
1790042182.730180,right_joint2,14,sw_ver,9.25972e+08
1790042182.730331,right_joint1,14,sw_ver,9.25972e+08
1790042182.730377,right_joint3,14,sw_ver,9.25971e+08
1790042182.730496,right_joint1,14,sw_ver,9.25972e+08
1790042182.730662,right_joint2,14,sw_ver,9.25972e+08
1790042182.730708,right_joint3,14,sw_ver,9.25971e+08
1790042182.730808,right_joint4,14,sw_ver,9.25971e+08
1790042182.730895,right_joint5,14,sw_ver,9.2597e+08
1790042182.730993,right_joint6,14,sw_ver,9.2597e+08
1790042182.731104,right_joint1,13,hw_ver,0
1790042182.731203,right_joint1,13,hw_ver,0
1790042182.731313,right_joint2,13,hw_ver,0
1790042182.731411,right_joint3,13,hw_ver,0
1790042182.731583,right_joint4,13,hw_ver,0
1790042182.731627,right_joint5,13,hw_ver,0
1790042182.733705,right_joint6,13,hw_ver,0
1790042336.578947,right_joint1,10,CTRL_MODE,1
1790042336.579074,right_joint2,10,CTRL_MODE,1
1790042336.579150,right_joint3,10,CTRL_MODE,1
1790042336.579379,right_joint4,10,CTRL_MODE,1
1790042336.579390,right_joint5,10,CTRL_MODE,1
1790042336.579430,right_joint6,10,CTRL_MODE,1
1790042336.579614,right_joint7,10,CTRL_MODE,1
