t_s,joint,rid,name,value
1790043822.497582,right_joint1,10,CTRL_MODE,1
1790043822.497586,right_joint2,10,CTRL_MODE,1
1790043822.497786,right_joint3,10,CTRL_MODE,1
1790043822.497790,right_joint4,10,CTRL_MODE,1
1790043822.497980,right_joint5,10,CTRL_MODE,1
1790043822.497984,right_joint6,10,CTRL_MODE,1
1790043822.497987,right_joint7,10,CTRL_MODE,1
1790043853.093763,right_joint1,10,CTRL_MODE,1
1790043853.093862,right_joint2,10,CTRL_MODE,1
1790043853.093933,right_joint3,10,CTRL_MODE,1
1790043853.094190,right_joint4,10,CTRL_MODE,1
1790043853.094194,right_joint5,10,CTRL_MODE,1
1790043853.094260,right_joint6,10,CTRL_MODE,1
1790043853.094448,right_joint7,10,CTRL_MODE,1
1790043914.845682,right_joint1,10,CTRL_MODE,1
1790043914.845880,right_joint2,10,CTRL_MODE,1
1790043914.845941,right_joint3,10,CTRL_MODE,1
1790043914.845951,right_joint4,10,CTRL_MODE,1
1790043914.846160,right_joint5,10,CTRL_MODE,1
1790043914.846164,right_joint6,10,CTRL_MODE,1
1790043914.846384,right_joint7,10,CTRL_MODE,1
1790044009.696200,right_joint1,10,CTRL_MODE,1
1790044009.696424,right_joint2,10,CTRL_MODE,1
1790044009.696428,right_joint3,10,CTRL_MODE,1
1790044009.696611,right_joint4,10,CTRL_MODE,1
1790044009.696615,right_joint5,10,CTRL_MODE,1
1790044009.696704,right_joint6,10,CTRL_MODE,1
1790044009.696920,right_joint7,10,CTRL_MODE,1
1790044075.975619,right_joint1,10,CTRL_MODE,1
1790044075.975683,right_joint2,10,CTRL_MODE,1
1790044075.975888,right_joint3,10,CTRL_MODE,1
1790044075.975892,right_joint4,10,CTRL_MODE,1
1790044075.975991,right_joint5,10,CTRL_MODE,1
1790044075.976196,right_joint6,10,CTRL_MODE,1
1790044075.976200,right_joint7,10,CTRL_MODE,1
1790044405.100698,right_joint1,10,CTRL_MODE,1
1790044405.100703,right_joint2,10,CTRL_MODE,1
1790044405.100705,right_joint3,10,CTRL_MODE,1
1790044405.100902,right_joint4,10,CTRL_MODE,1
1790044405.100906,right_joint5,10,CTRL_MODE,1
1790044405.101144,right_joint6,10,CTRL_MODE,1
1790044405.101148,right_joint7,10,CTRL_MODE,1
