cls,preset,kp,kd,I_link,mgd,tau_pk,vel_lim,armature,coulomb,viscous,fric_src,arm_over_Ilink,tau_over_arm,tau_over_Jtot,step_rise_ms,step_overshoot_pct,step_settle_ms,step_ss_err_deg,step_tau_peak,step_sat_frac,bw_3db_hz,f_90deg_hz,res_peak_db,res_freq_hz,chirp_sat_frac,ms_track_rms_deg,ms_track_max_deg,ms_tau_rms,ms_tau_peak,ms_sat_frac,fd_moved,fd_travel_rad,fd_stop_s,fd_swings,fd_hit_limit,fd_rest_deg
elbow,dm4340,70.0,2.0,0.00215,0.06,27.0,5.445427266222308,0.02557,0.54,0.1878,M 실측,11.893023255813953,1055.9249120062573,974.025974025974,59.14285714285742,0.0,76.0000000000002,0.27420123052689616,21.000009142857145,0.0,12.220678612090937,,0.7298642956164968,6.037333333333331,0.09432704486367575,0.7468344369376483,1.411710711422835,1.0699247714176379,2.116624,0.0,True,0.0696,0.07600000000000007,0.0,False,
elbow,g1_elbow,70.0,2.0,0.00215,0.06,25.0,37.0,0.01,0.5,0.0,S 범용값,4.651162790697675,2500.0,2057.6131687242796,58.00000000000015,0.0,73.99999999999984,0.4093947148436898,20.99999042857143,0.0,28.45621396369374,,0.7270255231405165,10.41533333333333,0.1346576894873675,0.38269313648399944,0.6351810116820329,0.5806200511782684,1.128196,0.0,True,0.046617,0.04800000000000004,0.0,False,
elbow,h1_elbow,70.0,2.0,0.00215,0.06,18.0,20.0,0.0,0.36,0.0,S,0.0,,8372.093023255815,67.99999999999993,0.0,85.99999999999999,0.2947743442255451,18.0,0.0010000002857145714,,,0.12451711310440078,,0.0015332311179254716,0.24046464661458689,0.29129174304451083,0.35710154175055764,0.561393,0.0,False,0.009953,0.010000000000000009,0.0,False,
elbow,mit_elbow,70.0,2.0,0.00215,0.06,52.2,35.0,0.005561457499999999,1.044,0.0,S,2.5867244186046507,9386.028752354938,6769.148374350764,72.00000000000031,0.0,77.99999999999972,0.8547056983307276,20.99998285714286,0.0,,,0.06324653771383107,,0.0,0.6949683903344598,0.8982259354265913,1.0128468720505537,1.528345,0.0,False,0.012837,0.014000000000000012,0.0,False,
elbow,rs02_elbow,70.0,2.0,0.00215,0.06,17.0,42.93509959906051,0.0015,0.34,0.0,S 범용값,0.6976744186046512,11333.333333333334,4657.534246575343,66.00000000000009,0.0,83.99999999999994,0.2784801611920448,17.0,0.0010000002857145714,,,0.3057819165130919,,0.04559696020265316,0.22854705324932612,0.2883696582893431,0.3458491413400607,0.534947,0.0,True,0.019507,0.020000000000000018,0.0,False,
shoulder,bh_8513,70.0,2.75,0.434,11.74,45.3,40.7,0.005588999999999999,0.9059999999999999,0.0,S,0.012877880184331796,8105.206655931294,103.05080427399228,101.14285714285735,29.729668206315658,593.4285714285713,1.4121608925475817,19.715473000000003,0.0,3.308434873161257,2.6340535846344117,4.6638866203477765,2.1759999999999997,0.0,6.311259752503573,11.143857227955971,9.514950673798289,16.258936,0.0,True,2.960496,2.456,1.5,False,3.212001399503395
shoulder,dm8009,70.0,2.75,0.434,11.74,40.0,16.755160819145562,0.01669,0.814,0.1,M 실측,0.038456221198156684,2396.644697423607,88.75280126028979,104.00000000000009,29.50493761546822,606.2857142857146,1.3977141709989245,19.70676814285714,0.0,3.2606159779311263,2.5907332747065515,4.5721173422701336,2.1759999999999997,0.0,6.265835909592566,11.188547935976176,9.438239538715415,16.300035,0.0,True,2.74066,2.484,1.5,False,1.6076622773575768
shoulder,g1_shoulder,70.0,2.75,0.434,11.74,25.0,37.0,0.01,0.5,0.0,S 범용값,0.02304147465437788,2500.0,56.306306306306304,101.71428571428599,32.440018883319624,598.5714285714288,1.3610121316651154,19.731186714285716,0.0,3.329215501297951,2.5868363257591844,5.2471381000118775,2.1759999999999997,0.0,6.5255179258988605,11.435951111913665,9.839778798376347,16.709599,0.0,True,5.4822299999999995,4.922,3.5,False,0.1568758443068194
shoulder,h1_shoulder,70.0,2.75,0.434,11.74,40.0,9.0,0.0,0.8,0.0,S,0.0,,92.16589861751152,102.00000000000024,30.108108410979415,598.5714285714282,1.3944974222348319,19.70010157142857,0.0,3.343048035529653,2.6404045230232613,4.793251704339721,2.1759999999999997,0.0,6.380128019410788,11.190037626243518,9.623362948234803,16.34495,0.0,True,3.400578,3.042,2.0,False,0.3140381675112042
shoulder,mit_shoulder,70.0,2.75,0.434,11.74,33.6,55.0,0.0023,0.672,0.0,S,0.005299539170506912,14608.695652173914,77.01123080449233,101.71428571428599,30.88504326771848,609.7142857142856,1.382268865864472,19.679074285714282,0.0,3.3494203384417025,2.6320146750807143,4.982279128605988,2.1759999999999997,0.0,6.448259088052461,11.299071494656912,9.726057219210784,16.510548,0.0,True,4.087139,3.6580000000000004,2.5,False,0.436364656771635
